item_ID,item_categ,observation_time,item_price_change
ID_1,pasta,1,1.5
ID_1,pasta,2,1.5
ID_1,pasta,3,0.5
ID_1,pasta,4,2.5
ID_1,pasta,5,0.5
ID_1,pasta,6,0.5
ID_1,pasta,7,1.5
ID_1,pasta,8,1.5
ID_1,pasta,9,2.5
ID_1,pasta,10,1.5
ID_2,pasta,1,1
ID_2,pasta,2,1
ID_2,pasta,3,0
ID_2,pasta,4,1
ID_2,pasta,5,1
ID_2,pasta,6,1
ID_2,pasta,7,1
ID_2,pasta,8,1
ID_2,pasta,9,1
ID_2,pasta,10,1
ID_3,rice,1,5
ID_3,rice,2,2
ID_3,rice,3,5
ID_3,rice,4,5
ID_3,rice,5,5
ID_3,rice,6,4
ID_3,rice,7,5
ID_3,rice,8,4
ID_3,rice,9,4
ID_3,rice,10,2
ID_4,rice,1,7
ID_4,rice,2,6
ID_4,rice,3,7
ID_4,rice,4,7
ID_4,rice,5,6
ID_4,rice,6,7
ID_4,rice,7,6
ID_4,rice,8,7
ID_4,rice,9,7
ID_4,rice,10,7
